raw_value,affected_rows,current_standardized_value,current_broad_value,review_signal_type,current_recommended_action,proposed_destination_field,proposed_standardized_value,proposed_broad_value,confidence,rationale,reviewer_decision,rule_file_to_update,rule_to_add,test_to_add,notes
ENVO_00000446,3,ENVO_00000446,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
EVB15,3,EVB15,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
EVB16,3,EVB16,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
EVB4,3,EVB4,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
EVB6,3,EVB6,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
EVB9,3,EVB9,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
feather animal meal,3,feather animal meal,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
femur_chicken1,3,femur_chicken1,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
FOODON_00002403,3,FOODON_00002403,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
frozen animal feed adult mouse,3,frozen animal feed adult mouse,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
frozen animal feed baby mouse,3,frozen animal feed baby mouse,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
frozen animal feed young mouse,3,frozen animal feed young mouse,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Gall Bladder,3,Gall Bladder,,body_site,route_to_isolation_site,Isolation_Site_SD,,,needs_review,Anatomical-site signal; split material and site when both are present.,unreviewed,,,,"Batch 3 - anatomical sites. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Gastric lavage,3,Gastric lavage,,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
HET.02_hemi-forebrain,3,HET.02_hemi-forebrain,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
HET.06_hemi-forebrain,3,HET.06_hemi-forebrain,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
HET.18_hemi-forebrain,3,HET.18_hemi-forebrain,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
HET.24_hemi-forebrain,3,HET.24_hemi-forebrain,,raw_code_or_artifact,route_to_non_source_descriptor,suppressed/non_source_descriptor,,,needs_review,Descriptor-like signal; verify raw variants before adding a suppression rule.,unreviewed,,,,"Batch 1 - metadata descriptors. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
"hip,tissue",3,"hip,tissue",tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Host tissue,3,Host tissue,tissue,sample_type,route_to_sample_type,Sample_Type_SD,,,needs_review,Sample-material signal; preserve source context only when independently supported.,unreviewed,,,,"Batch 2 - sample materials. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
Hot Dog,3,Hot Dog,,host_taxon_or_context,route_to_host_context,Host_Context_SD / host-associated context,,,needs_review,Host-only signal requires raw context before source or host routing.,unreviewed,,,,"Batch 6 - host context. Current mode routing method: standardizer. This value comes from Isolation_Source_SD in the QA aggregate, not directly from the raw metadata field; inspect contributing raw variants before deciding."
